Data,MSCI China
07/2012,8589.599999999999
08/2012,8320.4
09/2012,8868.4
10/2012,9375.099999999999
11/2012,9550.399999999998
12/2012,10010.2
01/2013,10422.999999999998
02/2013,10013.099999999999
03/2013,9555.8
04/2013,9664.399999999998
05/2013,9582.399999999998
06/2013,8930.999999999998
07/2013,9294.2
08/2013,9519.699999999999
09/2013,10024.8
10/2013,10276.599999999999
11/2013,10776.099999999999
12/2013,10406.499999999998
01/2014,9709.399999999998
02/2014,9964.3
03/2014,9796.199999999999
04/2014,9572.899999999998
05/2014,10024.099999999999
06/2014,10354.499999999998
07/2014,11199.499999999998
08/2014,11224.699999999999
09/2014,10512.499999999996
10/2014,10965.599999999999
11/2014,11137.399999999998
12/2014,11266.399999999998
01/2015,11521.399999999998
02/2015,11894.699999999999
03/2015,12180.999999999998
04/2015,14212.399999999998
05/2015,13687.999999999998
06/2015,12937.999999999998
07/2015,11546.999999999996
08/2015,10197.899999999998
09/2015,10004.499999999998
10/2015,10912.899999999998
11/2015,10544.899999999998
12/2015,10407.499999999998
01/2016,9083.799999999997
02/2016,8854.199999999999
03/2016,9907.999999999998
04/2016,9888.399999999998
05/2016,9815.3
06/2016,9936.099999999999
07/2016,10284.199999999999
08/2016,11042.199999999999
09/2016,11323.499999999998
10/2016,11104.3
11/2016,10971.499999999998
12/2016,10522.599999999999
01/2017,11236.8
02/2017,11634.399999999998
03/2017,11882.899999999998
04/2017,12199.799999999997
05/2017,12844.799999999997
06/2017,13149.199999999999
07/2017,14325.399999999998
08/2017,14933.499999999998
09/2017,15090.499999999998
10/2017,15690.299999999997
11/2017,15934.899999999992
12/2017,16239.999999999998
01/2018,18268.1
02/2018,17098.199999999997
03/2018,16535.4
04/2018,16531.9
05/2018,16840.199999999997
06/2018,15966.199999999997
07/2018,15578.599999999999
08/2018,14988.699999999997
09/2018,14781.099999999999
10/2018,13086
11/2018,14045.099999999999
12/2018,13195.099999999999
01/2019,14654.399999999998
02/2019,15160.199999999997
03/2019,15529.599999999999
04/2019,15875.899999999996
05/2019,13803.599999999999
06/2019,14920.699999999997
07/2019,14845.699999999997
08/2019,14225.499999999998
09/2019,14223.799999999997
10/2019,14797.999999999998
11/2019,15061.899999999998
12/2019,16316.999999999995
01/2020,15533.299999999997
02/2020,15684.299999999997
03/2020,14650.199999999997
04/2020,15575.499999999998
05/2020,15502.099999999995
06/2020,16901.8
07/2020,18507.4
08/2020,19558.999999999996
09/2020,19025.799999999996
10/2020,20032.399999999998
11/2020,20588.1
12/2020,21157.899999999998
01/2021,22715.799999999996
02/2021,22480.699999999997
03/2021,21067.899999999998
04/2021,21361.5
05/2021,21528.600000000002
06/2021,21556.699999999997
07/2021,18579.499999999996
08/2021,18580.6
09/2021,17648.899999999998
10/2021,18205.999999999996
11/2021,17119.1
12/2021,16579.499999999996
01/2022,16090.499999999998
02/2022,15462.999999999998
03/2022,14226.699999999997
04/2022,13645.899999999998
05/2022,13808.499999999998
06/2022,14724.199999999997
07/2022,13333.899999999998
08/2022,13364.199999999999
09/2022,11420.499999999998
10/2022,9500.8
11/2022,12323.999999999998
12/2022,12965.499999999998
01/2023,14492.899999999998
02/2023,12989.299999999997
03/2023,13575.999999999998
04/2023,12876.099999999999
05/2023,11792.199999999999
06/2023,12266.299999999997
07/2023,13598.399999999998
08/2023,12380.899999999998
09/2023,12041.599999999999
10/2023,11528.499999999998
11/2023,11819.399999999998
12/2023,11534.699999999999
01/2024,10310.8
02/2024,11176.3
03/2024,11282.099999999999
04/2024,12026.799999999997
05/2024,12317.299999999997
06/2024,12090.399999999998
07/2024,11941.999999999998
08/2024,12073.79945281568
09/2024,14983.233337218031
10/2024,14085.379485921652
11/2024,13428.897327774117
12/2024,13835.351468645285
01/2025,13913.689206083436
02/2025,15570.522743529606
